Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Absence pour maladie;Non Statutaires CDI;Maîtrise;Femme;1339.0;heures;§1.8.3
2023;EDF SA;France;Absence pour maladie;Non Statutaires CDI;Exécution;Femme;0.0;heures;§1.8.3
2023;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Cadre;;290437.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Exécution;;17970.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Cadre;;2814.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Maîtrise;Homme;190209.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Maîtrise;Femme;87799.0;heures;§1.8.7
2023;EDF SA;France;Absence pour maladie;Non Statutaires CDI;Exécution;Homme;0.0;heures;§1.8.3
2023;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Maîtrise;;159668.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de maternité ou d'adoption;Statutaires;Exécution;;27781.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Cadre;;105717.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Exécution;Femme;16329.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Maîtrise;Femme;46.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Exécution;Homme;0.0;heures;§1.8.7
2023;EDF SA;France;Absence pour maladie;Statutaires;Cadre;Homme;611488.0;heures;§1.8.3
2023;EDF SA;France;Absence pour maladie;Statutaires;Exécution;Femme;211553.0;heures;§1.8.3
2023;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Exécution;;0.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Maîtrise;;122928.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Maîtrise;;0.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Cadre;Femme;87884.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Exécution;Homme;22511.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Cadre;Homme;2347.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Cadre;Femme;2524.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Exécution;Femme;0.0;heures;§1.8.7
2023;EDF SA;France;Absence pour maladie;Statutaires;Maîtrise;Femme;875925.0;heures;§1.8.3
2023;EDF SA;France;Absence pour maladie;Statutaires;Exécution;Homme;184293.0;heures;§1.8.3
2023;EDF SA;France;Absence pour maladie;Non Statutaires CDI;Cadre;Homme;6319.0;heures;§1.8.3
2023;EDF SA;France;Absence pour maladie;Non Statutaires CDI;Maîtrise;Homme;500.0;heures;§1.8.3
2023;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Cadre;;8008.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Exécution;;0.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Cadre;Homme;152665.0;heures;§1.8.7
2023;EDF SA;France;Absence pour maladie;Statutaires;Cadre;Femme;570831.0;heures;§1.8.3
2023;EDF SA;France;Absence pour maladie;Statutaires;Maîtrise;Homme;1090723.0;heures;§1.8.3
2023;EDF SA;France;Absence pour maladie;Non Statutaires CDI;Cadre;Femme;15170.0;heures;§1.8.3
2023;EDF SA;France;Absence pour congé de maternité ou d'adoption;Non Statutaires CDI;Maîtrise;;0.0;heures;§1.8.6
