Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Tranche horaire;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Cadre;Femme;533.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;;;Maitrise;Femme;822.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;Moins de 20 heures;Maitrise;Homme;32.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Maitrise;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;Moins de 20 heures;Cadre;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Cadre;Homme;54.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Maitrise;Femme;330.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Maitrise;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Execution;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Execution;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 30 heures à moins de 35 heures;Cadre;Homme;1.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 30 heures à moins de 35 heures;Cadre;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 30 heures à moins de 35 heures;Maitrise;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;;Cadre;Femme;91.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;;Maitrise;Femme;632.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;;Maitrise;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;;Cadre;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés en services continus de plus de 50 ans;;;Maitrise;Femme;14.0;Nombre;
2023;EDF SA;France;Salariés reclassés dans l'entreprise à la suite d'une inaptitude;;;;;22.0;Nombre;
2023;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Maitrise;Homme;13388.0;Nombre;
2023;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Maitrise;Femme;2045.0;Nombre;
2023;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Maitrise;Homme;658.0;Nombre;
2023;EDF SA;France;Salariés bénéficiaires d'un système d'horaires individualisés;;;Maitrise;Femme;1343.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;Moins de 20 heures;Execution;Homme;6.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Cadre;Femme;3.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;Moins de 20 heures;Cadre;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;Moins de 20 heures;Execution;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;Moins de 20 heures;Execution;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 20 heures à moins de 30 heures;Execution;Femme;131.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 20 heures à moins de 30 heures;Cadre;Homme;1.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 20 heures à moins de 30 heures;Cadre;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;De 30 heures à moins de 35 heures;Execution;Femme;58.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 30 heures à moins de 35 heures;Maitrise;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;De 30 heures à moins de 35 heures;Execution;Femme;1.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 30 heures à moins de 35 heures;Maitrise;Femme;1.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;De 30 heures à moins de 35 heures;Execution;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;;Execution;Homme;134.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;;Execution;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;;Maitrise;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en services continus de plus de 50 ans;;;Execution;Femme;4.0;Nombre;
2023;EDF SA;France;Salariés ayant bénéficié de repos compensateur;;;Execution;Femme;105.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;;;Cadre;Homme;103.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;;;Cadre;Femme;175.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;;;Execution;Homme;40.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;Moins de 20 heures;Maitrise;Femme;97.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Statutaires;Moins de 20 heures;Execution;Femme;68.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDI;Moins de 20 heures;Execution;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés à temps partiel en décembre;Non statutaire CDD;Moins de 20 heures;Maitrise;Homme;0.0;Nombre;
