Année;Perimètre juridique;Perimètre spatial;Indicateur;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;492.0;nombre;§1.2.2
2023;EDF SA;France;Salariés détachés en mobilité à l'international;;Femme;23.0;nombre;§1.2.5
2023;EDF SA;France;Salariés détachés accueillis;;Homme;1544.0;nombre;§1.2.6
2023;EDF SA;France;Salariés détachés accueillis;;Femme;44.0;nombre;§1.2.6
2023;EDF SA;France;Stagiaires scolaires;Cadre;Homme;6.0;nombre;§1.2.2
2023;EDF SA;France;Stagiaires scolaires;Exécution;Homme;131.0;nombre;§1.2.2
2023;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Homme;393.0;nombre;§1.2.3
2023;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Femme;724.0;nombre;§1.2.3
2023;EDF SA;France;Durée moyenne des contrats de travail temporaire;;;103.0;jours;§1.2.4
2023;EDF SA;France;Salariés détachés en mobilité à l'international;;Homme;86.0;nombre;§1.2.5
2023;EDF SA;France;Stagiaires scolaires;Cadre;Femme;2.0;nombre;§1.2.2
2023;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;942.0;nombre;§1.2.2
2023;EDF SA;France;Stagiaires scolaires;Exécution;Femme;65.0;nombre;§1.2.2
2022;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;890.0;nombre;§1.2.2
2022;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Homme;436.0;nombre;§1.2.3
2022;EDF SA;France;Salariés détachés en mobilité à l'international;;Homme;117.0;nombre;§1.2.5
2022;EDF SA;France;Salariés détachés accueillis;;Homme;2082.0;nombre;§1.2.6
2022;EDF SA;France;Salariés détachés accueillis;;Femme;44.0;nombre;§1.2.6
2022;EDF SA;France;Stagiaires scolaires;Exécution;Femme;69.0;nombre;§1.2.2
2022;EDF SA;France;Durée moyenne des contrats de travail temporaire;;;118.0;jours;§1.2.4
2022;EDF SA;France;Salariés détachés en mobilité à l'international;;Femme;29.0;nombre;§1.2.5
2022;EDF SA;France;Stagiaires scolaires;Cadre;Homme;1.0;nombre;§1.2.2
2022;EDF SA;France;Stagiaires scolaires;Exécution;Homme;179.0;nombre;§1.2.2
2022;EDF SA;France;Stagiaires scolaires;Cadre;Femme;1.0;nombre;§1.2.2
2022;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;482.0;nombre;§1.2.2
2022;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Femme;780.0;nombre;§1.2.3
2021;EDF SA;France;Salariés détachés accueillis;;Homme;1867.0;nombre;§1.2.6
2021;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;923.0;nombre;§1.2.2
2021;EDF SA;France;Durée moyenne des contrats de travail temporaire;;;87.0;jours;§1.2.4
2021;EDF SA;France;Salariés détachés en mobilité à l'international;;Homme;143.0;nombre;§1.2.5
2021;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Homme;462.0;nombre;§1.2.3
2021;EDF SA;France;Salariés détachés accueillis;;Femme;31.0;nombre;§1.2.6
2021;EDF SA;France;Stagiaires scolaires;Cadre;Homme;4.0;nombre;§1.2.2
2021;EDF SA;France;Stagiaires scolaires;Exécution;Homme;184.0;nombre;§1.2.2
2021;EDF SA;France;Stagiaires scolaires;Cadre;Femme;2.0;nombre;§1.2.2
2021;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;574.0;nombre;§1.2.2
2021;EDF SA;France;Stagiaires scolaires;Exécution;Femme;91.0;nombre;§1.2.2
2021;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Femme;787.0;nombre;§1.2.3
2021;EDF SA;France;Salariés détachés en mobilité à l'international;;Femme;39.0;nombre;§1.2.5
2020;EDF SA;France;Stagiaires scolaires;Cadre;Homme;3.0;nombre;§1.2.2
2020;EDF SA;France;Stagiaires scolaires;Exécution;Femme;52.0;nombre;§1.2.2
2020;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Femme;526.0;nombre;§1.2.3
2020;EDF SA;France;Durée moyenne des contrats de travail temporaire;;;78.0;jours;§1.2.4
2020;EDF SA;France;Salariés détachés accueillis;;Homme;2339.0;nombre;§1.2.6
2020;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;734.0;nombre;§1.2.2
2020;EDF SA;France;Salariés détachés en mobilité à l'international;;Femme;50.0;nombre;§1.2.5
2020;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;491.0;nombre;§1.2.2
2020;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Homme;453.0;nombre;§1.2.3
2020;EDF SA;France;Stagiaires scolaires;Cadre;Femme;0.0;nombre;§1.2.2
2020;EDF SA;France;Stagiaires scolaires;Exécution;Homme;135.0;nombre;§1.2.2
2020;EDF SA;France;Salariés détachés en mobilité à l'international;;Homme;177.0;nombre;§1.2.5
2020;EDF SA;France;Salariés détachés accueillis;;Femme;42.0;nombre;§1.2.6
2019;EDF SA;France;Stagiaires scolaires;Cadre;Homme;4.0;nombre;§1.2.2
2019;EDF SA;France;Stagiaires scolaires;Cadre;Femme;0.0;nombre;§1.2.2
2019;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;548.0;nombre;§1.2.2
2019;EDF SA;France;Salariés détachés en mobilité à l'international;;Femme;37.0;nombre;§1.2.5
2019;EDF SA;France;Salariés détachés accueillis;;Femme;54.0;nombre;§1.2.6
2019;EDF SA;France;Stagiaires scolaires;Exécution;Homme;245.0;nombre;§1.2.2
2019;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Femme;833.0;nombre;§1.2.3
2019;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Homme;361.0;nombre;§1.2.3
2019;EDF SA;France;Salariés détachés en mobilité à l'international;;Homme;147.0;nombre;§1.2.5
2019;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;804.0;nombre;§1.2.2
2019;EDF SA;France;Stagiaires scolaires;Exécution;Femme;86.0;nombre;§1.2.2
2019;EDF SA;France;Durée moyenne des contrats de travail temporaire;;;79.0;jours;§1.2.4
2019;EDF SA;France;Salariés détachés accueillis;;Homme;2360.0;nombre;§1.2.6
2018;EDF SA;France;Stagiaires scolaires;Cadre;Femme;7.0;nombre;§1.2.2
2018;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Homme;352.0;nombre;§1.2.3
2018;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Femme;714.0;nombre;§1.2.3
2018;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;780.0;nombre;§1.2.2
2018;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;504.0;nombre;§1.2.2
2018;EDF SA;France;Stagiaires scolaires;Exécution;Femme;125.0;nombre;§1.2.2
2018;EDF SA;France;Salariés détachés en mobilité à l'international;;Femme;23.0;nombre;§1.2.5
2018;EDF SA;France;Salariés détachés accueillis;;Homme;1836.0;nombre;§1.2.6
2018;EDF SA;France;Stagiaires scolaires;Cadre;Homme;4.0;nombre;§1.2.2
2018;EDF SA;France;Stagiaires scolaires;Exécution;Homme;284.0;nombre;§1.2.2
2018;EDF SA;France;Durée moyenne des contrats de travail temporaire;;;61.0;jours;§1.2.4
2018;EDF SA;France;Salariés détachés en mobilité à l'international;;Homme;104.0;nombre;§1.2.5
2018;EDF SA;France;Salariés détachés accueillis;;Femme;25.0;nombre;§1.2.6
2017;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;837.0;nombre;§1.2.2
2017;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;510.0;nombre;§1.2.2
2017;EDF SA;France;Stagiaires scolaires;Exécution;Homme;363.0;nombre;§1.2.2
2017;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Homme;362.0;nombre;§1.2.3
2017;EDF SA;France;Nombre moyen mensuel de travailleurs temporaires;;Femme;758.0;nombre;§1.2.3
2017;EDF SA;France;Durée moyenne des contrats de travail temporaire;;;73.0;jours;§1.2.4
2017;EDF SA;France;Salariés détachés en mobilité à l'international;;Homme;94.0;nombre;§1.2.5
2017;EDF SA;France;Stagiaires scolaires;Cadre;Homme;12.0;nombre;§1.2.2
2017;EDF SA;France;Salariés détachés accueillis;;Homme;801.0;nombre;§1.2.6
2017;EDF SA;France;Salariés détachés accueillis;;Femme;18.0;nombre;§1.2.6
2017;EDF SA;France;Stagiaires scolaires;Cadre;Femme;3.0;nombre;§1.2.2
2017;EDF SA;France;Stagiaires scolaires;Exécution;Femme;148.0;nombre;§1.2.2
2017;EDF SA;France;Salariés détachés en mobilité à l'international;;Femme;22.0;nombre;§1.2.5
