Année;Perimètre juridique;Perimètre spatial;Indicateur;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Montant consacré à la formation continue - INTERNE;;;;236695.0;K€;§5.1.2
2023;EDF SA;France;Montant consacré à la formation continue - AUTRES;;;;40874.0;K€;§5.1.2
2023;EDF SA;France;Salariés ayant suivi au moins un stage;Maitrise;;Femme;5618.0;nombre;§5.1.3
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Homme;7021.0;nombre;§5.1.3 bis
2023;EDF SA;France;Heures de formation;;;Femme;642716.0;heures;§5.1.4
2023;EDF SA;France;Heures de formation;;C;Homme;361275.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;H;Homme;304456.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;H;Femme;57935.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;I;Femme;0.0;heures;§5.1.4 bis
2023;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;;;Femme;2.0;nombre;§5.2.2
2023;EDF SA;France;Contrats d'apprentissage conclus dans l'année;;;Homme;1302.0;nombre;§5.3.1
2023;EDF SA;France;Contrats d'apprentissage conclus dans l'année;;;Femme;839.0;nombre;§5.3.1
2023;EDF SA;France;Salariés ayant suivi au moins un stage;Exécution;;Femme;1375.0;nombre;§5.1.3
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Homme;4767.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;E;Homme;3349.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;H;Femme;996.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;Sans plage;Femme;1486.0;nombre;§5.1.3 bis
2023;EDF SA;France;Heures de formation;Cadres;;;1183890.0;heures;§5.1.4
2023;EDF SA;France;Heures de formation;Maitrise;;;1911393.0;heures;§5.1.4
2023;EDF SA;France;Heures de formation;;B;Homme;78484.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;D;Homme;409148.0;heures;§5.1.4 bis
2023;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;;;Femme;2.0;nombre;§5.2.1
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Femme;424.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Femme;2975.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;E;Femme;434.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;G;Homme;6765.0;nombre;§5.1.3 bis
2023;EDF SA;France;Heures de formation;;F;Homme;457517.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;G;Homme;795272.0;heures;§5.1.4 bis
2023;EDF SA;France;Pourcentage de l’assiette des rémunérations soumises aux cotisations de sécurité sociale du régime général afférent à la formation continue;;;;8.1;%;§5.1.1
2023;EDF SA;France;Montant consacré à la formation continue - AGRÉÉ CONVENTION;;;;76809.0;K€;§5.1.2
2023;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Homme;15809.0;nombre;§5.1.3
2023;EDF SA;France;Salariés ayant suivi au moins un stage;Maitrise;;Homme;18665.0;nombre;§5.1.3
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Homme;945.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;B;Homme;2465.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Homme;6804.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Femme;1720.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Femme;2202.0;nombre;§5.1.3 bis
2023;EDF SA;France;Heures de formation;;D;Femme;104774.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;E;Femme;17412.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;F;Femme;87139.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;I;Homme;0.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;Sans plage;Homme;213595.0;heures;§5.1.4 bis
2023;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;;;Homme;4.0;nombre;§5.2.2
2023;EDF SA;France;Contrats de professionnalisation conclus dans l'année;;;Homme;63.0;nombre;§5.3.1
2023;EDF SA;France;Contrats de professionnalisation conclus dans l'année;;;Femme;38.0;nombre;§5.3.1
2023;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Femme;6554.0;nombre;§5.1.3
2023;EDF SA;France;Salariés ayant suivi au moins un stage;Exécution;;Homme;3315.0;nombre;§5.1.3
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;B;Femme;1137.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;G;Femme;2173.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;H;Homme;2396.0;nombre;§5.1.3 bis
