Année;Perimètre juridique;Perimètre spatial;Spatial perimeter;Indicateur;Indicator;Type de recours;Type of legal action;Valeur;Unité;Unit;Chapitre du bilan social
2023;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);11.0;Nombre;Number;§6.3.1
2023;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);22.0;Nombre;Number;§6.3.2
2023;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Discipline;Discipline;17.0;Nombre;Number;§6.3.1
2023;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Classement - Avancement;Classification - Advancement;24.0;Nombre;Number;§6.3.1
2023;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Classement;Classification;3.0;Nombre;Number;§6.3.2
2023;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Requête sanction disciplinaire;Disciplinary sanction request;4.0;Nombre;Number;§6.3.2
2022;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);16.0;Nombre;Number;§6.3.1
2022;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Autres (expertise médicale - article 22 recours amiable…);Others (Medical expertise – Article 22 amicable appeal…);21.0;Nombre;Number;§6.3.2
2022;EDF SA;France;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Number of judicial cases initiated in the year involving the company (EDF and Mixed);Requête sanction disciplinaire;Disciplinary sanction request;6.0;Nombre;Number;§6.3.2
2022;EDF SA;France;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Number of non-judicial resolution methods initiated in the year;Classement - Avancement;Classification - Advancement;4.0;Nombre;Number;§6.3.1
