Indicateur;Cadres/Non Cadres;Genre;Valeur;Unité;Année;Type emploi
Travailleurs en situation de handicap;Cadres;Homme;0.0;nombre;2021;Fonctionnaires
Travailleurs en situation de handicap;Cadres;Homme;52.0;nombre;2021;Salariés CNP Assurances
Travailleurs en situation de handicap;Cadres;Femme;0.0;nombre;2021;Fonctionnaires
Travailleurs en situation de handicap;Cadres;Femme;46.0;nombre;2021;Salariés CNP Assurances
Travailleurs en situation de handicap;Non Cadres;Homme;2.0;nombre;2021;Fonctionnaires
Travailleurs en situation de handicap;Non Cadres;Homme;28.0;nombre;2021;Salariés CNP Assurances
Travailleurs en situation de handicap;Non Cadres;Femme;1.0;nombre;2021;Fonctionnaires
Travailleurs en situation de handicap;Non Cadres;Femme;93.0;nombre;2021;Salariés CNP Assurances
Travailleurs en situation de handicap;Cadres;Homme;0.0;nombre;2022;Fonctionnaires
Travailleurs en situation de handicap;Cadres;Homme;54.0;nombre;2022;Salariés CNP Assurances
Travailleurs en situation de handicap;Cadres;Femme;0.0;nombre;2022;Fonctionnaires
Travailleurs en situation de handicap;Cadres;Femme;55.0;nombre;2022;Salariés CNP Assurances
Travailleurs en situation de handicap;Non Cadres;Homme;2.0;nombre;2022;Fonctionnaires
Travailleurs en situation de handicap;Non Cadres;Homme;27.0;nombre;2022;Salariés CNP Assurances
Travailleurs en situation de handicap;Non Cadres;Femme;0.0;nombre;2022;Fonctionnaires
Travailleurs en situation de handicap;Non Cadres;Femme;93.0;nombre;2022;Salariés CNP Assurances
Travailleurs en situation de handicap;Cadres;Homme;0.0;nombre;2023;Fonctionnaires
Travailleurs en situation de handicap;Cadres;Homme;64.0;nombre;2023;Salariés CNP Assurances
Travailleurs en situation de handicap;Cadres;Femme;0.0;nombre;2023;Fonctionnaires
Travailleurs en situation de handicap;Cadres;Femme;70.0;nombre;2023;Salariés CNP Assurances
Travailleurs en situation de handicap;Non Cadres;Homme;1.0;nombre;2023;Fonctionnaires
Travailleurs en situation de handicap;Non Cadres;Homme;29.0;nombre;2023;Salariés CNP Assurances
Travailleurs en situation de handicap;Non Cadres;Femme;0.0;nombre;2023;Fonctionnaires
Travailleurs en situation de handicap;Non Cadres;Femme;90.0;nombre;2023;Salariés CNP Assurances
