Pays;Année;Valeur;Unité;Indicateur
France;2022;854;nombre;Nombre de femmes leaders
Espagne;2022;822;nombre;Nombre de femmes leaders
Belgique;2022;103;nombre;Nombre de femmes leaders
Italie;2022;526;nombre;Nombre de femmes leaders
Chine continentale;2022;968;nombre;Nombre de femmes leaders
Portugal;2022;109;nombre;Nombre de femmes leaders
Pologne;2022;282;nombre;Nombre de femmes leaders
Russie;2022;209;nombre;Nombre de femmes leaders
Allemagne;2022;304;nombre;Nombre de femmes leaders
Hongrie;2022;143;nombre;Nombre de femmes leaders
Inde;2022;181;nombre;Nombre de femmes leaders
Brésil;2022;162;nombre;Nombre de femmes leaders
République Tchéque;2022;120;nombre;Nombre de femmes leaders
Turquie;2022;140;nombre;Nombre de femmes leaders
Roumanie;2022;140;nombre;Nombre de femmes leaders
Royaume-Uni;2022;182;nombre;Nombre de femmes leaders
Maroc;2022;73;nombre;Nombre de femmes leaders
Mexique;2022;42;nombre;Nombre de femmes leaders
Pays-Bas;2022;78;nombre;Nombre de femmes leaders
Taéwan;2022;80;nombre;Nombre de femmes leaders
Suisse;2022;55;nombre;Nombre de femmes leaders
Singapour;2022;39;nombre;Nombre de femmes leaders
Canada;2022;46;nombre;Nombre de femmes leaders
France;2023;868;nombre;Nombre de femmes leaders
Espagne;2023;655;nombre;Nombre de femmes leaders
Belgique;2023;122;nombre;Nombre de femmes leaders
Italie;2023;432;nombre;Nombre de femmes leaders
Chine continentale;2023;837;nombre;Nombre de femmes leaders
Portugal;2023;110;nombre;Nombre de femmes leaders
Pologne;2023;271;nombre;Nombre de femmes leaders
Russie;2023;;nombre;Nombre de femmes leaders
Allemagne;2023;258;nombre;Nombre de femmes leaders
Hongrie;2023;147;nombre;Nombre de femmes leaders
Inde;2023;214;nombre;Nombre de femmes leaders
Brésil;2023;165;nombre;Nombre de femmes leaders
République Tchéque;2023;120;nombre;Nombre de femmes leaders
Turquie;2023;148;nombre;Nombre de femmes leaders
Roumanie;2023;144;nombre;Nombre de femmes leaders
Royaume-Uni;2023;119;nombre;Nombre de femmes leaders
Maroc;2023;58;nombre;Nombre de femmes leaders
Mexique;2023;48;nombre;Nombre de femmes leaders
Pays-Bas;2023;90;nombre;Nombre de femmes leaders
Taéwan;2023;77;nombre;Nombre de femmes leaders
Suisse;2023;57;nombre;Nombre de femmes leaders
Singapour;2023;35;nombre;Nombre de femmes leaders
Canada;2023;55;nombre;Nombre de femmes leaders
