Pays;Année;Valeur;Unité;Indicateur
France;2022;28.8;%;Proportion de femmes leaders
Espagne;2022;43.9;%;Proportion de femmes leaders
Belgique;2022;27.4;%;Proportion de femmes leaders
Italie;2022;38.7;%;Proportion de femmes leaders
Chine continentale;2022;51.6;%;Proportion de femmes leaders
Portugal;2022;36.6;%;Proportion de femmes leaders
Pologne;2022;52.9;%;Proportion de femmes leaders
Russie;2022;42.5;%;Proportion de femmes leaders
Allemagne;2022;39.5;%;Proportion de femmes leaders
Hongrie;2022;48.5;%;Proportion de femmes leaders
Inde;2022;18.2;%;Proportion de femmes leaders
Brésil;2022;37.8;%;Proportion de femmes leaders
République Tchèque;2022;41.4;%;Proportion de femmes leaders
Turquie;2022;33.3;%;Proportion de femmes leaders
Roumanie;2022;42.8;%;Proportion de femmes leaders
Royaume-Uni;2022;40.4;%;Proportion de femmes leaders
Maroc;2022;42.0;%;Proportion de femmes leaders
Mexique;2022;42.9;%;Proportion de femmes leaders
Pays-Bas;2022;31.5;%;Proportion de femmes leaders
Taïwan;2022;55.2;%;Proportion de femmes leaders
Suisse;2022;31.8;%;Proportion de femmes leaders
Singapour;2022;39.8;%;Proportion de femmes leaders
Canada;2022;28.2;%;Proportion de femmes leaders
France;2023;28.6;%;Proportion de femmes leaders
Espagne;2023;43.2;%;Proportion de femmes leaders
Belgique;2023;29.2;%;Proportion de femmes leaders
Italie;2023;38.3;%;Proportion de femmes leaders
Chine continentale;2023;53.2;%;Proportion de femmes leaders
Portugal;2023;39.3;%;Proportion de femmes leaders
Pologne;2023;53.9;%;Proportion de femmes leaders
Russie;2023;;%;Proportion de femmes leaders
Allemagne;2023;36.3;%;Proportion de femmes leaders
Hongrie;2023;50.5;%;Proportion de femmes leaders
Inde;2023;19.3;%;Proportion de femmes leaders
Brésil;2023;41.1;%;Proportion de femmes leaders
République Tchèque;2023;41.1;%;Proportion de femmes leaders
Turquie;2023;35.5;%;Proportion de femmes leaders
Roumanie;2023;46.9;%;Proportion de femmes leaders
Royaume-Uni;2023;38.0;%;Proportion de femmes leaders
Maroc;2023;46.0;%;Proportion de femmes leaders
Mexique;2023;49.5;%;Proportion de femmes leaders
Pays-Bas;2023;33.0;%;Proportion de femmes leaders
Taïwan;2023;56.6;%;Proportion de femmes leaders
Suisse;2023;33.7;%;Proportion de femmes leaders
Singapour;2023;38.9;%;Proportion de femmes leaders
Canada;2023;29.7;%;Proportion de femmes leaders
