Localisation;Genre;Année;Valeur;Unité;Indicateur
Monde;Femme;2022;46.3;%;Proportion de femmes/hommes par localisation
Monde;Homme;2022;53.7;%;Proportion de femmes/hommes par localisation
Europe;Femme;2022;47.2;%;Proportion de femmes/hommes par localisation
Europe;Homme;2022;52.8;%;Proportion de femmes/hommes par localisation
Asie;Femme;2022;45.0;%;Proportion de femmes/hommes par localisation
Asie;Homme;2022;55.0;%;Proportion de femmes/hommes par localisation
Afrique & Moyen-Orient;Femme;2022;42.4;%;Proportion de femmes/hommes par localisation
Afrique & Moyen-Orient;Homme;2022;57.6;%;Proportion de femmes/hommes par localisation
Amériques;Femme;2022;43.4;%;Proportion de femmes/hommes par localisation
Amériques;Homme;2022;56.6;%;Proportion de femmes/hommes par localisation
Océanie;Femme;2022;38.6;%;Proportion de femmes/hommes par localisation
Océanie;Homme;2022;61.4;%;Proportion de femmes/hommes par localisation
Monde;Femme;2023;46.1;%;Proportion de femmes/hommes par localisation
Monde;Homme;2023;53.9;%;Proportion de femmes/hommes par localisation
Europe;Femme;2023;46.8;%;Proportion de femmes/hommes par localisation
Europe;Homme;2023;53.2;%;Proportion de femmes/hommes par localisation
Asie;Femme;2023;44.9;%;Proportion de femmes/hommes par localisation
Asie;Homme;2023;55.1;%;Proportion de femmes/hommes par localisation
Afrique & Moyen-Orient;Femme;2023;43.8;%;Proportion de femmes/hommes par localisation
Afrique & Moyen-Orient;Homme;2023;56.2;%;Proportion de femmes/hommes par localisation
Amériques;Femme;2023;44.7;%;Proportion de femmes/hommes par localisation
Amériques;Homme;2023;55.3;%;Proportion de femmes/hommes par localisation
Océanie;Femme;2023;39.3;%;Proportion de femmes/hommes par localisation
Océanie;Homme;2023;60.7;%;Proportion de femmes/hommes par localisation
