Pays;Année;Valeur;Unité;Indicateur
France;2022;3.2;%;Proportion de reconnaissance d'handicap
Espagne;2022;2.0;%;Proportion de reconnaissance d'handicap
Belgique;2022;;%;Proportion de reconnaissance d'handicap
Italie;2022;3.8;%;Proportion de reconnaissance d'handicap
Chine continentale;2022;0.1;%;Proportion de reconnaissance d'handicap
Portugal;2022;0.7;%;Proportion de reconnaissance d'handicap
Pologne;2022;0.9;%;Proportion de reconnaissance d'handicap
Russie;2022;0.5;%;Proportion de reconnaissance d'handicap
Allemagne;2022;0.6;%;Proportion de reconnaissance d'handicap
Hongrie;2022;1.1;%;Proportion de reconnaissance d'handicap
Inde;2022;0.7;%;Proportion de reconnaissance d'handicap
Brésil;2022;2.2;%;Proportion de reconnaissance d'handicap
République Tchéque;2022;0.3;%;Proportion de reconnaissance d'handicap
Turquie;2022;1.6;%;Proportion de reconnaissance d'handicap
Roumanie;2022;3.5;%;Proportion de reconnaissance d'handicap
Royaume-Uni;2022;0.1;%;Proportion de reconnaissance d'handicap
Maroc;2022;0.2;%;Proportion de reconnaissance d'handicap
Mexique;2022;0.2;%;Proportion de reconnaissance d'handicap
Pays-Bas;2022;0.2;%;Proportion de reconnaissance d'handicap
Taéwan;2022;1.5;%;Proportion de reconnaissance d'handicap
Suisse;2022;0.2;%;Proportion de reconnaissance d'handicap
Singapour;2022;0.4;%;Proportion de reconnaissance d'handicap
Canada;2022;;%;Proportion de reconnaissance d'handicap
France;2023;3.5;%;Proportion de reconnaissance d'handicap
Espagne;2023;2.3;%;Proportion de reconnaissance d'handicap
Belgique;2023;;%;Proportion de reconnaissance d'handicap
Italie;2023;3.9;%;Proportion de reconnaissance d'handicap
Chine continentale;2023;0.1;%;Proportion de reconnaissance d'handicap
Portugal;2023;0.9;%;Proportion de reconnaissance d'handicap
Pologne;2023;1.1;%;Proportion de reconnaissance d'handicap
Russie;2023;;%;Proportion de reconnaissance d'handicap
Allemagne;2023;0.5;%;Proportion de reconnaissance d'handicap
Hongrie;2023;1.2;%;Proportion de reconnaissance d'handicap
Inde;2023;0.6;%;Proportion de reconnaissance d'handicap
Brésil;2023;2.4;%;Proportion de reconnaissance d'handicap
République Tchéque;2023;0.3;%;Proportion de reconnaissance d'handicap
Turquie;2023;1.2;%;Proportion de reconnaissance d'handicap
Roumanie;2023;3.8;%;Proportion de reconnaissance d'handicap
Royaume-Uni;2023;0.0;%;Proportion de reconnaissance d'handicap
Maroc;2023;0.3;%;Proportion de reconnaissance d'handicap
Mexique;2023;0.2;%;Proportion de reconnaissance d'handicap
Pays-Bas;2023;;%;Proportion de reconnaissance d'handicap
Taéwan;2023;1.5;%;Proportion de reconnaissance d'handicap
Suisse;2023;0.3;%;Proportion de reconnaissance d'handicap
Singapour;2023;0.4;%;Proportion de reconnaissance d'handicap
Canada;2023;2.1;%;Proportion de reconnaissance d'handicap
