Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Maîtrise;Homme;190209.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Maîtrise;Femme;87799.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Exécution;Femme;16329.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Maîtrise;Femme;46.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Exécution;Homme;0.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Cadre;Femme;87884.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Exécution;Homme;22511.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Cadre;Homme;2347.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Cadre;Femme;2524.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Exécution;Femme;0.0;heures;§1.8.7
2023;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Cadre;Homme;152665.0;heures;§1.8.7
