Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Exécution;17970.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Cadre;2814.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Cadre;105717.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Maîtrise;122928.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Maîtrise;0.0;heures;§1.8.6
2023;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2022;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2022;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Cadre;1239.0;heures;§1.8.6
2022;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Maîtrise;0.0;heures;§1.8.6
2022;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Cadre;111182.0;heures;§1.8.6
2022;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Maîtrise;133970.0;heures;§1.8.6
2022;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Exécution;14345.0;heures;§1.8.6
2021;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Maîtrise;0.0;heures;§1.8.6
2021;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Maîtrise;93814.0;heures;§1.8.6
2021;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Cadre;88303.0;heures;§1.8.6
2021;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Exécution;11650.0;heures;§1.8.6
2021;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Cadre;791.0;heures;§1.8.6
2021;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2020;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Cadre;60772.0;heures;§1.8.6
2020;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Cadre;866.0;heures;§1.8.6
2020;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Maîtrise;0.0;heures;§1.8.6
2020;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2020;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Maîtrise;59890.0;heures;§1.8.6
2020;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Exécution;8681.0;heures;§1.8.6
2019;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Maîtrise;64608.0;heures;§1.8.6
2019;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Maîtrise;64.0;heures;§1.8.6
2019;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2019;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Exécution;9691.0;heures;§1.8.6
2019;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Cadre;58427.0;heures;§1.8.6
2019;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Cadre;450.0;heures;§1.8.6
2018;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Cadre;772.0;heures;§1.8.6
2018;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Exécution;8827.0;heures;§1.8.6
2018;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2018;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Cadre;56710.0;heures;§1.8.6
2018;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Maîtrise;0.0;heures;§1.8.6
2018;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Maîtrise;66725.0;heures;§1.8.6
2017;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Exécution;11008.0;heures;§1.8.6
2017;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Exécution;0.0;heures;§1.8.6
2017;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Maîtrise;65986.0;heures;§1.8.6
2017;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Cadre;672.0;heures;§1.8.6
2017;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Non Statutaires CDI;Maîtrise;0.0;heures;§1.8.6
2017;EDF SA;France;Absence pour congé de paternité et d'accueil de l'enfant;Statutaires;Cadre;58724.0;heures;§1.8.6
