Année;Perimètre juridique;Perimètre spatial;Indicateur;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Homme;13388.0;Nombre;
2023;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Femme;2045.0;Nombre;
2023;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Femme;105.0;Nombre;
2023;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Homme;1354.0;Nombre;
2023;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Femme;193.0;Nombre;
2023;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Homme;1468.0;Nombre;
2022;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Homme;1360.0;Nombre;§4.1.2
2022;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Homme;12990.0;Nombre;§4.1.2
2022;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Femme;97.0;Nombre;§4.1.2
2022;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Femme;1970.0;Nombre;§4.1.2
2022;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Homme;1225.0;Nombre;§4.1.2
2022;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Femme;184.0;Nombre;§4.1.2
2021;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Homme;1114.0;Nombre;§4.1.2
2021;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Homme;12855.0;Nombre;§4.1.2
2021;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Homme;1329.0;Nombre;§4.1.2
2021;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Femme;108.0;Nombre;§4.1.2
2021;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Femme;1990.0;Nombre;§4.1.2
2021;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Femme;181.0;Nombre;§4.1.2
2020;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Homme;1375.0;Nombre;§4.1.2
2020;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Femme;126.0;Nombre;§4.1.2
2020;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Homme;1115.0;Nombre;§4.1.2
2020;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Femme;192.0;Nombre;§4.1.2
2020;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Femme;2130.0;Nombre;§4.1.2
2020;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Homme;12804.0;Nombre;§4.1.2
2019;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Femme;163.0;Nombre;§4.1.2
2019;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Homme;13821.0;Nombre;§4.1.2
2019;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Homme;1588.0;Nombre;§4.1.2
2019;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Homme;1165.0;Nombre;§4.1.2
2019;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Femme;215.0;Nombre;§4.1.2
2019;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Femme;2493.0;Nombre;§4.1.2
2018;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Homme;1154.0;Nombre;§4.1.2
2018;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Homme;1665.0;Nombre;§4.1.2
2018;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Femme;179.0;Nombre;§4.1.2
2018;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Homme;14104.0;Nombre;§4.1.2
2018;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Femme;191.0;Nombre;§4.1.2
2018;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Femme;2486.0;Nombre;§4.1.2
2017;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Homme;1256.0;Nombre;§4.1.2
2017;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Cadre;Femme;197.0;Nombre;§4.1.2
2017;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Femme;2734.0;Nombre;§4.1.2
2017;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Maitrise;Homme;14514.0;Nombre;§4.1.2
2017;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Homme;1710.0;Nombre;§4.1.2
2017;EDF SA;France;Salariés ayant bénéficié de repos compensateur;Execution;Femme;222.0;Nombre;§4.1.2
