Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Cadre;Femme;91.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Maitrise;Femme;632.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Maitrise;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Cadre;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Execution;Homme;134.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Execution;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Maitrise;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Cadre;Homme;143.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Cadre;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Maitrise;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Cadre;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Execution;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Cadre;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Execution;Femme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Maitrise;Homme;558.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Execution;Femme;27.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Execution;Homme;0.0;Nombre;
2023;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Maitrise;Femme;0.0;Nombre;
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Execution;Homme;140.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Maitrise;Homme;1.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Maitrise;Femme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Execution;Homme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Cadre;Homme;148.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Maitrise;Homme;599.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Maitrise;Femme;690.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Cadre;Homme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Cadre;Femme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Execution;Homme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Cadre;Femme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Cadre;Femme;101.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Maitrise;Femme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Execution;Femme;34.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Execution;Femme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Cadre;Homme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Maitrise;Homme;0.0;Nombre;§4.1.5
2022;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Execution;Femme;0.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Cadre;Homme;167.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Maitrise;Femme;0.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Execution;Femme;0.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Maitrise;Femme;1.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Cadre;Femme;0.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Execution;Homme;0.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Execution;Femme;0.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Maitrise;Femme;716.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Maitrise;Homme;0.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Cadre;Homme;0.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Maitrise;Homme;0.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Cadre;Femme;116.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Maitrise;Homme;695.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Execution;Femme;31.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Cadre;Homme;0.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Execution;Homme;136.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Execution;Homme;0.0;Nombre;§4.1.5
2021;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Cadre;Femme;0.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Execution;Homme;130.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Maitrise;Homme;0.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Cadre;Homme;0.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Execution;Homme;0.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Maitrise;Homme;765.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Maitrise;Homme;0.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Maitrise;Femme;821.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Cadre;Homme;0.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Execution;Femme;0.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDD;Maitrise;Femme;1.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Cadre;Homme;186.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Cadre;Femme;131.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Statutaires;Execution;Femme;39.0;Nombre;§4.1.5
2020;EDF SA;France;Salariés en réduction collective du temps de travail;Non statutaire CDI;Cadre;Femme;0.0;Nombre;§4.1.5
