Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Démissions;Statutaires;Cadre;Femme;59.0;nombre;§1.4.2
2023;EDF SA;France;Démissions;Statutaires;Maîtrise;Homme;76.0;nombre;§1.4.2
2023;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Homme;0.0;nombre;§1.4.2
2023;EDF SA;France;Démissions;Statutaires;Maîtrise;Femme;25.0;nombre;§1.4.2
2023;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Homme;19.0;nombre;§1.4.2
2023;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Femme;0.0;nombre;§1.4.2
2023;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Femme;0.0;nombre;§1.4.2
2023;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Femme;16.0;nombre;§1.4.2
2023;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Homme;0.0;nombre;§1.4.2
2023;EDF SA;France;Démissions;Statutaires;Cadre;Homme;146.0;nombre;§1.4.2
2023;EDF SA;France;Démissions;Statutaires;Exécution;Homme;10.0;nombre;§1.4.2
2023;EDF SA;France;Démissions;Statutaires;Exécution;Femme;6.0;nombre;§1.4.2
2022;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Femme;10.0;nombre;§1.4.2
2022;EDF SA;France;Démissions;Statutaires;Cadre;Femme;70.0;nombre;§1.4.2
2022;EDF SA;France;Démissions;Statutaires;Maîtrise;Homme;80.0;nombre;§1.4.2
2022;EDF SA;France;Démissions;Statutaires;Exécution;Femme;8.0;nombre;§1.4.2
2022;EDF SA;France;Démissions;Statutaires;Cadre;Homme;148.0;nombre;§1.4.2
2022;EDF SA;France;Démissions;Statutaires;Exécution;Homme;10.0;nombre;§1.4.2
2022;EDF SA;France;Démissions;Statutaires;Maîtrise;Femme;20.0;nombre;§1.4.2
2022;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Homme;0.0;nombre;§1.4.2
2022;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Femme;1.0;nombre;§1.4.2
2022;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Homme;23.0;nombre;§1.4.2
2022;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Homme;0.0;nombre;§1.4.2
2022;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Femme;0.0;nombre;§1.4.2
2021;EDF SA;France;Démissions;Statutaires;Cadre;Homme;110.0;nombre;§1.4.2
2021;EDF SA;France;Démissions;Statutaires;Cadre;Femme;24.0;nombre;§1.4.2
2021;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Femme;18.0;nombre;§1.4.2
2021;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Femme;0.0;nombre;§1.4.2
2021;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Femme;0.0;nombre;§1.4.2
2021;EDF SA;France;Démissions;Statutaires;Maîtrise;Homme;68.0;nombre;§1.4.2
2021;EDF SA;France;Démissions;Statutaires;Exécution;Femme;4.0;nombre;§1.4.2
2021;EDF SA;France;Démissions;Statutaires;Maîtrise;Femme;19.0;nombre;§1.4.2
2021;EDF SA;France;Démissions;Statutaires;Exécution;Homme;10.0;nombre;§1.4.2
2021;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Homme;14.0;nombre;§1.4.2
2021;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Homme;0.0;nombre;§1.4.2
2021;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Homme;0.0;nombre;§1.4.2
2020;EDF SA;France;Démissions;Statutaires;Cadre;Femme;38.0;nombre;§1.4.2
2020;EDF SA;France;Démissions;Statutaires;Cadre;Homme;99.0;nombre;§1.4.2
2020;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Homme;13.0;nombre;§1.4.2
2020;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Homme;0.0;nombre;§1.4.2
2020;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Femme;0.0;nombre;§1.4.2
2020;EDF SA;France;Démissions;Statutaires;Maîtrise;Homme;49.0;nombre;§1.4.2
2020;EDF SA;France;Démissions;Statutaires;Exécution;Homme;5.0;nombre;§1.4.2
2020;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Femme;7.0;nombre;§1.4.2
2020;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Homme;0.0;nombre;§1.4.2
2020;EDF SA;France;Démissions;Statutaires;Maîtrise;Femme;22.0;nombre;§1.4.2
2020;EDF SA;France;Démissions;Statutaires;Exécution;Femme;4.0;nombre;§1.4.2
2020;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Femme;0.0;nombre;§1.4.2
2019;EDF SA;France;Démissions;Statutaires;Maîtrise;Femme;19.0;nombre;§1.4.2
2019;EDF SA;France;Démissions;Statutaires;Cadre;Homme;128.0;nombre;§1.4.2
2019;EDF SA;France;Démissions;Statutaires;Exécution;Homme;9.0;nombre;§1.4.2
2019;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Homme;0.0;nombre;§1.4.2
2019;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Homme;6.0;nombre;§1.4.2
2019;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Femme;12.0;nombre;§1.4.2
2019;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Femme;1.0;nombre;§1.4.2
2019;EDF SA;France;Démissions;Statutaires;Cadre;Femme;50.0;nombre;§1.4.2
