Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Sous-catégorie collège;Genre;Plage M3E;Nationalité;Ancienneté;Tranche d'âge;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;;;Moins de 25 ans;9.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;;Femme;;;;Moins de 25 ans;19.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Femme;;;;Moins de 25 ans;683.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Homme;;;;Moins de 25 ans;1216.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Femme;;;;De 25 à 35 ans;2046.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Homme;;;;De 25 à 35 ans;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Femme;;;;De 25 à 35 ans;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Homme;;;;De 36 à 45 ans;6465.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;;;De 36 à 45 ans;137.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;;;De 36 à 45 ans;2.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;;Femme;;;;De 46 à 55 ans;1.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Homme;;;;De 46 à 55 ans;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Homme;;;;De 56 à 60 ans;1266.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Femme;;;;De 56 à 60 ans;889.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Homme;;;;De 56 à 60 ans;66.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Femme;;;;De 56 à 60 ans;37.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;;;De 56 à 60 ans;3.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Femme;;;;De 56 à 60 ans;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Femme;;;;De 56 à 60 ans;42.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Homme;;;;61 ans et plus;818.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Femme;;;;61 ans et plus;209.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;;;61 ans et plus;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Homme;;;;61 ans et plus;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Homme;;;;61 ans et plus;9.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;;De 5 à moins de 10 ans;;2.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Femme;;;De 15 à moins de 20 ans;;889.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;;De 15 à moins de 20 ans;;14.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;;De 15 à moins de 20 ans;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Femme;;;De 20 à moins de 25 ans;;1894.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Femme;;;De 20 à moins de 25 ans;;1231.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;;De 20 à moins de 25 ans;;8.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Femme;;;De 20 à moins de 25 ans;;1.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Homme;;;De 25 à moins de 30 ans;;35.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;;De 25 à moins de 30 ans;;10.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Femme;;;De 25 à moins de 30 ans;;6.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;;De 25 à moins de 30 ans;;1.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Femme;;;De 30 à moins de 35 ans;;10.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Femme;;;De 30 à moins de 35 ans;;0.0;nombre;§1.1.7
