Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Maîtrise;Homme;1.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Cadre;Homme;38.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Cadre;Femme;22.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Maîtrise;Femme;81.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Exécution;Homme;74.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Exécution;Femme;19.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Maîtrise;Femme;454.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Cadre;Homme;258.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Maîtrise;Femme;0.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Exécution;Homme;0.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Exécution;Homme;740.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Cadre;Femme;121.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Maîtrise;Homme;328.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Cadre;Femme;1.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Exécution;Femme;0.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Maîtrise;Homme;514.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Cadre;Homme;9.0;nombre;§1.3.3
2023;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Exécution;Femme;338.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Exécution;Homme;0.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Maîtrise;Homme;593.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Cadre;Femme;85.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Exécution;Femme;7.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Cadre;Femme;1.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Exécution;Femme;309.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Cadre;Homme;217.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Maîtrise;Homme;0.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Cadre;Homme;27.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Maîtrise;Femme;477.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Maîtrise;Homme;283.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Maîtrise;Femme;70.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Exécution;Homme;81.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Cadre;Homme;2.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Cadre;Femme;13.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Maîtrise;Femme;0.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Exécution;Femme;0.0;nombre;§1.3.3
2022;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Exécution;Homme;589.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Cadre;Homme;0.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Cadre;Femme;1.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Maîtrise;Homme;0.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Exécution;Femme;0.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Cadre;Homme;160.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Cadre;Femme;69.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Cadre;Homme;24.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Exécution;Homme;522.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Maîtrise;Femme;50.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Exécution;Homme;45.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Maîtrise;Femme;0.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Cadre;Femme;14.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Exécution;Femme;291.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Exécution;Homme;0.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Maîtrise;Femme;548.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Maîtrise;Homme;209.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Exécution;Femme;8.0;nombre;§1.3.3
2021;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Maîtrise;Homme;568.0;nombre;§1.3.3
2020;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Cadre;Homme;110.0;nombre;§1.3.3
2020;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Cadre;Homme;1.0;nombre;§1.3.3
2020;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Cadre;Homme;33.0;nombre;§1.3.3
2020;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Maîtrise;Homme;504.0;nombre;§1.3.3
2020;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Maîtrise;Femme;475.0;nombre;§1.3.3
2020;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDD;Exécution;Homme;495.0;nombre;§1.3.3
2020;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Exécution;Femme;8.0;nombre;§1.3.3
2020;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Maîtrise;Homme;0.0;nombre;§1.3.3
2020;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Maîtrise;Femme;0.0;nombre;§1.3.3
2020;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Exécution;Homme;0.0;nombre;§1.3.3
2020;EDF SA;France;Embauches de salariés de moins de 25 ans;Non statutaires CDI;Exécution;Femme;0.0;nombre;§1.3.3
2020;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Exécution;Homme;35.0;nombre;§1.3.3
2020;EDF SA;France;Embauches de salariés de moins de 25 ans;Statutaires;Cadre;Femme;49.0;nombre;§1.3.3
