Année;Perimètre juridique;Perimètre spatial;Indicateur;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Salariés détachés accueillis;Homme;1544.0;nombre;§1.2.6
2023;EDF SA;France;Salariés détachés accueillis;Femme;44.0;nombre;§1.2.6
2022;EDF SA;France;Salariés détachés accueillis;Homme;2082.0;nombre;§1.2.6
2022;EDF SA;France;Salariés détachés accueillis;Femme;44.0;nombre;§1.2.6
2021;EDF SA;France;Salariés détachés accueillis;Homme;1867.0;nombre;§1.2.6
2021;EDF SA;France;Salariés détachés accueillis;Femme;31.0;nombre;§1.2.6
2020;EDF SA;France;Salariés détachés accueillis;Homme;2339.0;nombre;§1.2.6
2020;EDF SA;France;Salariés détachés accueillis;Femme;42.0;nombre;§1.2.6
2019;EDF SA;France;Salariés détachés accueillis;Femme;54.0;nombre;§1.2.6
2019;EDF SA;France;Salariés détachés accueillis;Homme;2360.0;nombre;§1.2.6
2018;EDF SA;France;Salariés détachés accueillis;Homme;1836.0;nombre;§1.2.6
2018;EDF SA;France;Salariés détachés accueillis;Femme;25.0;nombre;§1.2.6
2017;EDF SA;France;Salariés détachés accueillis;Homme;801.0;nombre;§1.2.6
2017;EDF SA;France;Salariés détachés accueillis;Femme;18.0;nombre;§1.2.6
