Année;Perimètre juridique;Perimètre spatial;Indicateur;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Salariés détachés en mobilité à l'international;Femme;23.0;nombre;§1.2.5
2023;EDF SA;France;Salariés détachés en mobilité à l'international;Homme;86.0;nombre;§1.2.5
2022;EDF SA;France;Salariés détachés en mobilité à l'international;Homme;117.0;nombre;§1.2.5
2022;EDF SA;France;Salariés détachés en mobilité à l'international;Femme;29.0;nombre;§1.2.5
2021;EDF SA;France;Salariés détachés en mobilité à l'international;Homme;143.0;nombre;§1.2.5
2021;EDF SA;France;Salariés détachés en mobilité à l'international;Femme;39.0;nombre;§1.2.5
2020;EDF SA;France;Salariés détachés en mobilité à l'international;Femme;50.0;nombre;§1.2.5
2020;EDF SA;France;Salariés détachés en mobilité à l'international;Homme;177.0;nombre;§1.2.5
2019;EDF SA;France;Salariés détachés en mobilité à l'international;Femme;37.0;nombre;§1.2.5
2019;EDF SA;France;Salariés détachés en mobilité à l'international;Homme;147.0;nombre;§1.2.5
2018;EDF SA;France;Salariés détachés en mobilité à l'international;Femme;23.0;nombre;§1.2.5
2018;EDF SA;France;Salariés détachés en mobilité à l'international;Homme;104.0;nombre;§1.2.5
2017;EDF SA;France;Salariés détachés en mobilité à l'international;Homme;94.0;nombre;§1.2.5
2017;EDF SA;France;Salariés détachés en mobilité à l'international;Femme;22.0;nombre;§1.2.5
