Année;Perimètre juridique;Perimètre spatial;Indicateur;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;492.0;nombre;§1.2.2
2023;EDF SA;France;Stagiaires scolaires;Cadre;Homme;6.0;nombre;§1.2.2
2023;EDF SA;France;Stagiaires scolaires;Exécution;Homme;131.0;nombre;§1.2.2
2023;EDF SA;France;Stagiaires scolaires;Cadre;Femme;2.0;nombre;§1.2.2
2023;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;942.0;nombre;§1.2.2
2023;EDF SA;France;Stagiaires scolaires;Exécution;Femme;65.0;nombre;§1.2.2
2022;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;890.0;nombre;§1.2.2
2022;EDF SA;France;Stagiaires scolaires;Exécution;Femme;69.0;nombre;§1.2.2
2022;EDF SA;France;Stagiaires scolaires;Cadre;Homme;1.0;nombre;§1.2.2
2022;EDF SA;France;Stagiaires scolaires;Exécution;Homme;179.0;nombre;§1.2.2
2022;EDF SA;France;Stagiaires scolaires;Cadre;Femme;1.0;nombre;§1.2.2
2022;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;482.0;nombre;§1.2.2
2021;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;923.0;nombre;§1.2.2
2021;EDF SA;France;Stagiaires scolaires;Cadre;Homme;4.0;nombre;§1.2.2
2021;EDF SA;France;Stagiaires scolaires;Exécution;Homme;184.0;nombre;§1.2.2
2021;EDF SA;France;Stagiaires scolaires;Cadre;Femme;2.0;nombre;§1.2.2
2021;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;574.0;nombre;§1.2.2
2021;EDF SA;France;Stagiaires scolaires;Exécution;Femme;91.0;nombre;§1.2.2
2020;EDF SA;France;Stagiaires scolaires;Cadre;Homme;3.0;nombre;§1.2.2
2020;EDF SA;France;Stagiaires scolaires;Exécution;Femme;52.0;nombre;§1.2.2
2020;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;734.0;nombre;§1.2.2
2020;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;491.0;nombre;§1.2.2
2020;EDF SA;France;Stagiaires scolaires;Cadre;Femme;0.0;nombre;§1.2.2
2020;EDF SA;France;Stagiaires scolaires;Exécution;Homme;135.0;nombre;§1.2.2
2019;EDF SA;France;Stagiaires scolaires;Cadre;Homme;4.0;nombre;§1.2.2
2019;EDF SA;France;Stagiaires scolaires;Cadre;Femme;0.0;nombre;§1.2.2
2019;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;548.0;nombre;§1.2.2
2019;EDF SA;France;Stagiaires scolaires;Exécution;Homme;245.0;nombre;§1.2.2
2019;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;804.0;nombre;§1.2.2
2019;EDF SA;France;Stagiaires scolaires;Exécution;Femme;86.0;nombre;§1.2.2
2018;EDF SA;France;Stagiaires scolaires;Cadre;Femme;7.0;nombre;§1.2.2
2018;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;780.0;nombre;§1.2.2
2018;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;504.0;nombre;§1.2.2
2018;EDF SA;France;Stagiaires scolaires;Exécution;Femme;125.0;nombre;§1.2.2
2018;EDF SA;France;Stagiaires scolaires;Cadre;Homme;4.0;nombre;§1.2.2
2018;EDF SA;France;Stagiaires scolaires;Exécution;Homme;284.0;nombre;§1.2.2
2017;EDF SA;France;Stagiaires scolaires;Maîtrise;Homme;837.0;nombre;§1.2.2
2017;EDF SA;France;Stagiaires scolaires;Maîtrise;Femme;510.0;nombre;§1.2.2
2017;EDF SA;France;Stagiaires scolaires;Exécution;Homme;363.0;nombre;§1.2.2
2017;EDF SA;France;Stagiaires scolaires;Cadre;Homme;12.0;nombre;§1.2.2
2017;EDF SA;France;Stagiaires scolaires;Cadre;Femme;3.0;nombre;§1.2.2
2017;EDF SA;France;Stagiaires scolaires;Exécution;Femme;148.0;nombre;§1.2.2
