Année;Perimètre juridique;Perimètre spatial;Indicateur;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Femme;2.0;nombre;§5.2.2
2023;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Homme;4.0;nombre;§5.2.2
2022;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Homme;0.0;Nombre;§5.2.2
2022;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Femme;2.0;Nombre;§5.2.2
2021;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Homme;4.0;Nombre;§5.2.2
2021;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Femme;0.0;Nombre;§5.2.2
2020;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Femme;4.0;Nombre;§5.2.2
2020;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Homme;3.0;Nombre;§5.2.2
2019;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Femme;7.0;Nombre;§5.2.2
2019;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Homme;8.0;Nombre;§5.2.2
2018;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Homme;11.0;Nombre;§5.2.2
2018;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Femme;15.0;Nombre;§5.2.2
2017;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Homme;17.0;Nombre;§5.2.2
2017;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;Femme;17.0;Nombre;§5.2.2
