Année;Perimètre juridique;Perimètre spatial;Indicateur;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Femme;2.0;nombre;§5.2.1
2023;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Homme;1.0;nombre;§5.2.1
2022;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Homme;10.0;Nombre;§5.2.1
2022;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Femme;6.0;Nombre;§5.2.1
2021;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Homme;4.0;Nombre;§5.2.1
2021;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Femme;3.0;Nombre;§5.2.1
2020;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Homme;7.0;Nombre;§5.2.1
2020;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Femme;4.0;Nombre;§5.2.1
2019;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Femme;14.0;Nombre;§5.2.1
2019;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Homme;11.0;Nombre;§5.2.1
2018;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Homme;88.0;Nombre;§5.2.1
2018;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Femme;99.0;Nombre;§5.2.1
2017;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Homme;84.0;Nombre;§5.2.1
2017;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;Femme;100.0;Nombre;§5.2.1
