Année;Perimètre juridique;Perimètre spatial;Indicateur;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Homme;1302.0;nombre;§5.3.1
2023;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Femme;839.0;nombre;§5.3.1
2022;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Femme;876.0;Nombre;§5.3.1
2022;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Homme;1217.0;Nombre;§5.3.1
2021;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Homme;1160.0;Nombre;§5.3.1
2021;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Femme;929.0;Nombre;§5.3.1
2020;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Homme;1033.0;Nombre;§5.3.1
2020;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Femme;893.0;Nombre;§5.3.1
2019;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Homme;897.0;Nombre;§5.3.1
2019;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Femme;630.0;Nombre;§5.3.1
2018;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Femme;459.0;Nombre;§5.3.1
2018;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Homme;765.0;Nombre;§5.3.1
2017;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Femme;466.0;Nombre;§5.3.1
2017;EDF SA;France;Contrats d'apprentissage conclus dans l'année;Homme;819.0;Nombre;§5.3.1
