Année;Perimètre juridique;Perimètre spatial;Indicateur;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Homme;63.0;nombre;§5.3.1
2023;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Femme;38.0;nombre;§5.3.1
2022;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Femme;26.0;Nombre;§5.3.1
2022;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Homme;55.0;Nombre;§5.3.1
2021;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Femme;20.0;Nombre;§5.3.1
2021;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Homme;54.0;Nombre;§5.3.1
2020;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Homme;51.0;Nombre;§5.3.1
2020;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Femme;35.0;Nombre;§5.3.1
2019;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Femme;289.0;Nombre;§5.3.1
2019;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Homme;197.0;Nombre;§5.3.1
2018;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Homme;320.0;Nombre;§5.3.1
2018;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Femme;507.0;Nombre;§5.3.1
2017;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Homme;360.0;Nombre;§5.3.1
2017;EDF SA;France;Contrats de professionnalisation conclus dans l'année;Femme;507.0;Nombre;§5.3.1
