Année;Perimètre juridique;Perimètre spatial;Indicateur;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Heures de formation;;;Femme;642716.0;heures;§5.1.4
2023;EDF SA;France;Heures de formation;;C;Homme;361275.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;H;Homme;304456.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;H;Femme;57935.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;I;Femme;0.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;Cadres;;;1183890.0;heures;§5.1.4
2023;EDF SA;France;Heures de formation;Maitrise;;;1911393.0;heures;§5.1.4
2023;EDF SA;France;Heures de formation;;B;Homme;78484.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;D;Homme;409148.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;F;Homme;457517.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;G;Homme;795272.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;D;Femme;104774.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;E;Femme;17412.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;F;Femme;87139.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;I;Homme;0.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;Sans plage;Homme;213595.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;Exécution;;;442154.0;heures;§5.1.4
2023;EDF SA;France;Heures de formation;;;Homme;2894720.0;heures;§5.1.4
2023;EDF SA;France;Heures de formation;;A;Homme;23456.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;A;Femme;11608.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;B;Femme;35178.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;C;Femme;133598.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;E;Homme;251517.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;G;Femme;127032.0;heures;§5.1.4 bis
2023;EDF SA;France;Heures de formation;;Sans plage;Femme;68039.0;heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;Cadres;;;1011552.0;Heures;§5.1.4
2022;EDF SA;France;Heures de formation;;B;Homme;70045.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;B;Femme;30427.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;E;Homme;234363.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;F;Homme;395427.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;I;Homme;0.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;E;Femme;16741.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;G;Femme;116130.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;H;Femme;56521.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;Sans plage;Homme;189313.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;C;Homme;315091.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;F;Femme;76495.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;G;Homme;652131.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;H;Homme;229163.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;Maitrise;;;1663022.0;Heures;§5.1.4
2022;EDF SA;France;Heures de formation;Exécution;;;351256.0;Heures;§5.1.4
2022;EDF SA;France;Heures de formation;;;Homme;2449570.0;Heures;§5.1.4
2022;EDF SA;France;Heures de formation;;A;Homme;20226.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;A;Femme;9960.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;C;Femme;117524.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;I;Femme;0.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;;Femme;576260.0;Heures;§5.1.4
2022;EDF SA;France;Heures de formation;;D;Homme;343812.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;D;Femme;89172.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;Sans plage;Femme;63291.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;F;Femme;76028.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;H;Femme;37904.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;I;Homme;0.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;B;Homme;79895.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;B;Femme;34586.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;C;Femme;121556.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;E;Homme;241724.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;G;Homme;596339.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;G;Femme;106288.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;H;Homme;172936.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;Cadres;;;1035552.0;Heures;§5.1.4
2021;EDF SA;France;Heures de formation;Maitrise;;;1609069.0;Heures;§5.1.4
2021;EDF SA;France;Heures de formation;Exécution;;;287841.0;Heures;§5.1.4
2021;EDF SA;France;Heures de formation;;;Homme;2339448.0;Heures;§5.1.4
2021;EDF SA;France;Heures de formation;;A;Femme;12451.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;D;Homme;316452.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;F;Homme;379404.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;Sans plage;Homme;194823.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;Sans plage;Femme;105226.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;;Femme;593014.0;Heures;§5.1.4
2021;EDF SA;France;Heures de formation;;A;Homme;26504.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;C;Homme;331371.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;E;Femme;16556.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;D;Femme;82419.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;I;Femme;0.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;Maitrise;;;1265512.0;Heures;§5.1.4
2020;EDF SA;France;Heures de formation;;D;Homme;234089.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;D;Femme;64310.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;E;Homme;185068.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;G;Femme;84088.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;I;Homme;0.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;Sans plage;Homme;221982.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;Cadres;;;736087.0;Heures;§5.1.4
2020;EDF SA;France;Heures de formation;;B;Homme;51336.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;F;Homme;253227.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;H;Femme;33426.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;Sans plage;Femme;229031.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;A;Homme;17131.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;C;Femme;86795.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;;Homme;1726306.0;Heures;§5.1.4
2020;EDF SA;France;Heures de formation;;;Femme;590589.0;Heures;§5.1.4
2020;EDF SA;France;Heures de formation;;C;Homme;231485.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;E;Femme;13656.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;G;Homme;411468.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;I;Femme;0.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;Exécution;;;315297.0;Heures;§5.1.4
2020;EDF SA;France;Heures de formation;;A;Femme;6922.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;B;Femme;22274.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;F;Femme;50087.0;Heures;§5.1.4 bis
2020;EDF SA;France;Heures de formation;;H;Homme;120519.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;Exécution;;;412771.0;Heures;§5.1.4
2019;EDF SA;France;Heures de formation;;;Homme;2578676.0;Heures;§5.1.4
2019;EDF SA;France;Heures de formation;;D;Femme;106647.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;E;Homme;281936.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;F;Femme;91794.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;Maitrise;;;1789056.0;Heures;§5.1.4
2019;EDF SA;France;Heures de formation;;C;Homme;356819.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;C;Femme;135143.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;E;Femme;18814.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;F;Homme;414925.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;I;Femme;0.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;Sans plage;Femme;234773.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;B;Homme;83933.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;D;Homme;355968.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;G;Femme;109417.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;H;Homme;192219.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;I;Homme;0.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;Sans plage;Homme;257232.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;Cadres;;;1167630.0;Heures;§5.1.4
2019;EDF SA;France;Heures de formation;;;Femme;790782.0;Heures;§5.1.4
2019;EDF SA;France;Heures de formation;;A;Homme;28196.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;A;Femme;11689.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;B;Femme;37935.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;G;Homme;607448.0;Heures;§5.1.4 bis
2019;EDF SA;France;Heures de formation;;H;Femme;44571.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;B;Femme;41724.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;C;Homme;378442.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;C;Femme;144025.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;Sans plage;Homme;434099.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;Sans plage;Femme;436247.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;Maitrise;;;2195929.0;Heures;§5.1.4
2018;EDF SA;France;Heures de formation;;;Homme;3105035.0;Heures;§5.1.4
2018;EDF SA;France;Heures de formation;;;Femme;1099055.0;Heures;§5.1.4
2018;EDF SA;France;Heures de formation;;B;Homme;87798.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;F;Homme;447430.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;G;Femme;143463.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;I;Homme;0.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;Cadres;;;1294465.0;Heures;§5.1.4
2018;EDF SA;France;Heures de formation;Exécution;;;713696.0;Heures;§5.1.4
2018;EDF SA;France;Heures de formation;;G;Homme;771313.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;A;Homme;29310.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;A;Femme;15155.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;D;Femme;127512.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;E;Homme;308699.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;F;Femme;105284.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;I;Femme;0.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;D;Homme;384495.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;E;Femme;22922.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;H;Homme;263448.0;Heures;§5.1.4 bis
2018;EDF SA;France;Heures de formation;;H;Femme;62724.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;Cadres;;;1337397.0;Heures;§5.1.4
2017;EDF SA;France;Heures de formation;;;Femme;1153418.0;Heures;§5.1.4
2017;EDF SA;France;Heures de formation;;F;Femme;120212.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;G;Homme;828858.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;I;Homme;0.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;Sans plage;Femme;456515.0;Heures;§5.1.4 bis
