Année;Perimètre juridique;Perimètre spatial;Indicateur;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Salariés ayant suivi au moins un stage;Maitrise;;Femme;5618.0;nombre;§5.1.3
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Homme;7021.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;Exécution;;Femme;1375.0;nombre;§5.1.3
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Homme;4767.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;E;Homme;3349.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;H;Femme;996.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;Sans plage;Femme;1486.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Femme;424.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Femme;2975.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;E;Femme;434.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;G;Homme;6765.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Homme;15809.0;nombre;§5.1.3
2023;EDF SA;France;Salariés ayant suivi au moins un stage;Maitrise;;Homme;18665.0;nombre;§5.1.3
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Homme;945.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;B;Homme;2465.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Homme;6804.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Femme;1720.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Femme;2202.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Femme;6554.0;nombre;§5.1.3
2023;EDF SA;France;Salariés ayant suivi au moins un stage;Exécution;;Homme;3315.0;nombre;§5.1.3
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;B;Femme;1137.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;G;Femme;2173.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;H;Homme;2396.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;I;Homme;0.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;I;Femme;0.0;nombre;§5.1.3 bis
2023;EDF SA;France;Salariés ayant suivi au moins un stage;;Sans plage;Homme;3277.0;nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;E;Femme;434.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Femme;2195.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;H;Homme;2186.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Femme;6301.0;Nombre;§5.1.3
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Femme;421.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Femme;2904.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Homme;6835.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;H;Femme;967.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;Sans plage;Homme;2902.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;Maitrise;;Femme;5656.0;Nombre;§5.1.3
2022;EDF SA;France;Salariés ayant suivi au moins un stage;Exécution;;Homme;2838.0;Nombre;§5.1.3
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;B;Homme;2443.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Homme;4593.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Femme;1693.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;E;Homme;3272.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;G;Femme;2154.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;I;Femme;0.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Homme;15236.0;Nombre;§5.1.3
2022;EDF SA;France;Salariés ayant suivi au moins un stage;Maitrise;;Homme;18289.0;Nombre;§5.1.3
2022;EDF SA;France;Salariés ayant suivi au moins un stage;Exécution;;Femme;1323.0;Nombre;§5.1.3
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Homme;933.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;I;Homme;0.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;Sans plage;Femme;1473.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;B;Femme;1038.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Homme;6617.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;G;Homme;6581.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;Exécution;;Homme;2606.0;Nombre;§5.1.3
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;B;Femme;1102.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Femme;2882.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;E;Homme;3226.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;G;Homme;6449.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;I;Femme;0.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Homme;1017.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;H;Femme;994.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;Sans plage;Femme;1617.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Femme;1730.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Femme;2306.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;I;Homme;0.0;Nombre;§5.1.3 bis
