Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Salariés en situation de handicap;Statutaires;Cadre;Femme;343.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDI;Maîtrise;Homme;0.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDD;Cadre;Homme;0.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDI;Maîtrise;Femme;1.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDI;Exécution;Homme;0.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDD;Maîtrise;Homme;12.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDD;Exécution;Homme;13.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDD;Exécution;Femme;8.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Statutaires;Cadre;Homme;523.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Statutaires;Maîtrise;Homme;707.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Statutaires;Maîtrise;Femme;718.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDI;Cadre;Homme;8.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDI;Exécution;Femme;0.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDD;Cadre;Femme;0.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Statutaires;Exécution;Homme;125.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Statutaires;Exécution;Femme;180.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDI;Cadre;Femme;4.0;nombre;§1.7.1
2023;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDD;Maîtrise;Femme;22.0;nombre;§1.7.1
2022;EDF SA;France;Salariés en situation de handicap;Statutaires;Cadre;Homme;471.0;nombre;§1.7.1
2022;EDF SA;France;Salariés en situation de handicap;Statutaires;Maîtrise;Homme;662.0;nombre;§1.7.1
2022;EDF SA;France;Salariés en situation de handicap;Statutaires;Maîtrise;Femme;665.0;nombre;§1.7.1
2022;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDI;Exécution;Homme;0.0;nombre;§1.7.1
2022;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDI;Exécution;Femme;0.0;nombre;§1.7.1
2022;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDD;Cadre;Homme;0.0;nombre;§1.7.1
2022;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDD;Maîtrise;Homme;9.0;nombre;§1.7.1
2022;EDF SA;France;Salariés en situation de handicap;Statutaires;Exécution;Femme;180.0;nombre;§1.7.1
2022;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDD;Maîtrise;Femme;17.0;nombre;§1.7.1
2022;EDF SA;France;Salariés en situation de handicap;Non Statutaires CDD;Exécution;Homme;12.0;nombre;§1.7.1
