Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Maîtrise;49.0;nombre;§1.7.2
2023;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Cadre;0.0;nombre;§1.7.2
2023;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Maîtrise;0.0;nombre;§1.7.2
2023;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Exécution;8.0;nombre;§1.7.2
2023;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Cadre;32.0;nombre;§1.7.2
2023;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Exécution;0.0;nombre;§1.7.2
2023;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Cadre;0.0;nombre;§1.7.2
2023;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Maîtrise;0.0;nombre;§1.7.2
2023;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDI;Exécution;0.0;nombre;§1.7.2
2022;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Maîtrise;80.0;nombre;§1.7.2
2022;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Statutaires;Exécution;4.0;nombre;§1.7.2
2022;EDF SA;France;Salariés reconnus travailleurs handicapés suite à accidents du travail survenus dans l'entreprise;Non Statutaires CDD;Maîtrise;1.0;nombre;§1.7.2
