Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Femme;36.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Homme;0.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Femme;0.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Homme;5.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Homme;20.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Femme;753.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Femme;340.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Homme;99.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Femme;36.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Homme;0.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Femme;18.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Homme;1883.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Homme;59.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Homme;16.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Femme;9.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Femme;2.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Homme;1150.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Femme;0.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Homme;1727.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Homme;0.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Femme;0.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Homme;0.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Femme;313.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Femme;33.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Femme;0.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Femme;2.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Homme;13.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Homme;1043.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Homme;4.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Homme;19.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Femme;677.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Homme;88.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Femme;34.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Homme;55.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Femme;8.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Femme;16.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Femme;29.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Homme;5.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Homme;1678.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Femme;0.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Femme;0.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Homme;12.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Femme;8.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Femme;647.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Homme;1026.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Femme;36.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Homme;0.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Homme;0.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Femme;15.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Femme;314.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Homme;48.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Femme;3.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Homme;17.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Homme;86.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Femme;319.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Femme;0.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Homme;16.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Homme;1672.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Femme;634.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Homme;42.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Femme;27.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Femme;0.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Femme;14.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Homme;12.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Femme;9.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Homme;89.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Homme;0.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Homme;5.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Homme;1017.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Femme;39.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Homme;0.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Femme;3.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Homme;97.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Femme;44.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Femme;0.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Homme;4.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Femme;1.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Femme;3.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Homme;13.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Femme;622.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Homme;1026.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Femme;331.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Homme;0.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Homme;17.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Femme;10.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Homme;1676.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Homme;41.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Femme;26.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Homme;0.0;M€;§2.1.1
2019;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Femme;13.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Femme;49.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Homme;4.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Femme;617.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Homme;1028.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Homme;0.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Femme;1.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Homme;0.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Homme;16.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Femme;340.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Homme;102.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Homme;38.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Femme;23.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Femme;0.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Femme;13.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Homme;14.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Femme;11.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Homme;1703.0;M€;§2.1.1
2018;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Femme;2.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Femme;51.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Femme;22.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Homme;0.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Homme;15.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Homme;1735.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Femme;344.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Femme;2.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;Femme;12.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Homme;14.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;Femme;12.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;Femme;598.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;Homme;100.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Homme;0.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;Femme;0.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;Homme;1001.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;Homme;38.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;Femme;1.0;M€;§2.1.1
2017;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;Homme;4.0;M€;§2.1.1
