Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;Homme;465.0;nombre;§1.5.1
2023;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Exécution vers Maîtrise;Femme;117.0;nombre;§1.5.1
2023;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;Femme;172.0;nombre;§1.5.1
2023;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Exécution vers Maîtrise;Homme;249.0;nombre;§1.5.1
2023;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;Homme;1.0;nombre;§1.5.1
2023;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;Femme;0.0;nombre;§1.5.1
2023;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;Homme;0.0;nombre;§1.5.1
2023;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;Femme;0.0;nombre;§1.5.1
2022;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;Homme;394.0;nombre;§1.5.1
2022;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;Homme;0.0;nombre;§1.5.1
2022;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;Femme;152.0;nombre;§1.5.1
2022;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Exécution vers Maîtrise;Homme;235.0;nombre;§1.5.1
2022;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;Femme;0.0;nombre;§1.5.1
2022;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Exécution vers Maîtrise;Femme;104.0;nombre;§1.5.1
2022;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;Femme;0.0;nombre;§1.5.1
2022;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;Homme;0.0;nombre;§1.5.1
2021;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;Homme;383.0;nombre;§1.5.1
2021;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Exécution vers Maîtrise;Homme;235.0;nombre;§1.5.1
2021;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Exécution vers Maîtrise;Femme;97.0;nombre;§1.5.1
2021;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;Femme;0.0;nombre;§1.5.1
2021;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;Femme;0.0;nombre;§1.5.1
2021;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;Femme;127.0;nombre;§1.5.1
2021;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;Homme;0.0;nombre;§1.5.1
2021;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;Homme;0.0;nombre;§1.5.1
2020;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;Homme;0.0;nombre;§1.5.1
2020;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;Femme;0.0;nombre;§1.5.1
