Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Femme;7175.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Homme;4990.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Homme;11049.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Femme;9495.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Femme;1578.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Homme;5829.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Femme;3337.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Femme;9177.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Homme;0.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Homme;1460.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Homme;1189.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Homme;8716.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Homme;7074.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Femme;6478.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Femme;4450.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Homme;8711.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Homme;1425.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Homme;3888.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Femme;3383.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Femme;1260.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Homme;11099.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Homme;4669.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Homme;3984.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Femme;4279.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Homme;3894.0;€;§2.1.2
