Grade académique;Année;Type promotion;Valeur;Unité;Indicateur
PR Classe exceptionnelle échelon 2;2018;CNU;0;nombre;Nombre de promotions
PR Classe exceptionnelle échelon 1;2018;CNU;0;nombre;Nombre de promotions
PR 1er classe;2018;CNU;2;nombre;Nombre de promotions
MCF échelon exceptionnel;2018;CNU;0;nombre;Nombre de promotions
MCF hors classe;2018;CNU;1;nombre;Nombre de promotions
PR Classe exceptionnelle échelon 2;2018;établissement;0;nombre;Nombre de promotions
PR Classe exceptionnelle échelon 1;2018;établissement;0;nombre;Nombre de promotions
PR 1er classe;2018;établissement;0;nombre;Nombre de promotions
MCF échelon exceptionnel;2018;établissement;1;nombre;Nombre de promotions
MCF hors classe;2018;établissement;1;nombre;Nombre de promotions
PR Classe exceptionnelle échelon 2;2019;CNU;0;nombre;Nombre de promotions
PR Classe exceptionnelle échelon 1;2019;CNU;1;nombre;Nombre de promotions
PR 1er classe;2019;CNU;2;nombre;Nombre de promotions
MCF échelon exceptionnel;2019;CNU;3;nombre;Nombre de promotions
MCF hors classe;2019;CNU;1;nombre;Nombre de promotions
PR Classe exceptionnelle échelon 2;2019;établissement;0;nombre;Nombre de promotions
PR Classe exceptionnelle échelon 1;2019;établissement;0;nombre;Nombre de promotions
PR 1er classe;2019;établissement;0;nombre;Nombre de promotions
MCF échelon exceptionnel;2019;établissement;0;nombre;Nombre de promotions
MCF hors classe;2019;établissement;0;nombre;Nombre de promotions
PR Classe exceptionnelle échelon 2;2020;CNU;0;nombre;Nombre de promotions
PR Classe exceptionnelle échelon 1;2020;CNU;0;nombre;Nombre de promotions
PR 1er classe;2020;CNU;0;nombre;Nombre de promotions
MCF échelon exceptionnel;2020;CNU;0;nombre;Nombre de promotions
MCF hors classe;2020;CNU;1;nombre;Nombre de promotions
PR Classe exceptionnelle échelon 2;2020;établissement;0;nombre;Nombre de promotions
PR Classe exceptionnelle échelon 1;2020;établissement;0;nombre;Nombre de promotions
PR 1er classe;2020;établissement;0;nombre;Nombre de promotions
MCF échelon exceptionnel;2020;établissement;1;nombre;Nombre de promotions
MCF hors classe;2020;établissement;1;nombre;Nombre de promotions
