Année,Perimètre juridique,Perimètre spatial,Spatial perimeter,Indicateur,Indicator,Type de contrat,Type of contract,Collège,Employee category,Plage M3E,M3E classification,Genre,Gender,Valeur,Unité,Unit,Chapitre du bilan social
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Femme,Female,36.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Maitrise,Supervisors,,,Homme,Male,0.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Maitrise,Supervisors,,,Femme,Female,0.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Cadre,Managers,,,Homme,Male,5.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Maitrise,Supervisors,,,Homme,Male,20.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Cadre,Managers,,,Femme,Female,753.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Maitrise,Supervisors,,,Femme,Female,340.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Execution,Operatives,,,Homme,Male,99.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Execution,Operatives,,,Femme,Female,36.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Homme,Male,0.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Maitrise,Supervisors,,,Femme,Female,18.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Cadre,Managers,,,Homme,Male,1883.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Homme,Male,59.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Homme,Male,16.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Femme,Female,9.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Cadre,Managers,,,Femme,Female,2.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Maitrise,Supervisors,,,Homme,Male,1150.0,M€,M€,§2.1.1
2023,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Femme,Female,0.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Cadre,Managers,,,Homme,Male,1727.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Maitrise,Supervisors,,,Homme,Male,0.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Maitrise,Supervisors,,,Femme,Female,0.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Homme,Male,0.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Maitrise,Supervisors,,,Femme,Female,313.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Femme,Female,33.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Femme,Female,0.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Cadre,Managers,,,Femme,Female,2.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Homme,Male,13.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Maitrise,Supervisors,,,Homme,Male,1043.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Cadre,Managers,,,Homme,Male,4.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Maitrise,Supervisors,,,Homme,Male,19.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Cadre,Managers,,,Femme,Female,677.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Execution,Operatives,,,Homme,Male,88.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Execution,Operatives,,,Femme,Female,34.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Homme,Male,55.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Femme,Female,8.0,M€,M€,§2.1.1
2022,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Maitrise,Supervisors,,,Femme,Female,16.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Femme,Female,29.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Cadre,Managers,,,Homme,Male,5.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Cadre,Managers,,,Homme,Male,1678.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Maitrise,Supervisors,,,Femme,Female,0.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Femme,Female,0.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Homme,Male,12.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Femme,Female,8.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Cadre,Managers,,,Femme,Female,647.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Maitrise,Supervisors,,,Homme,Male,1026.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Execution,Operatives,,,Femme,Female,36.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Maitrise,Supervisors,,,Homme,Male,0.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Homme,Male,0.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Maitrise,Supervisors,,,Femme,Female,15.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Maitrise,Supervisors,,,Femme,Female,314.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Homme,Male,48.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Cadre,Managers,,,Femme,Female,3.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Maitrise,Supervisors,,,Homme,Male,17.0,M€,M€,§2.1.1
2021,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Execution,Operatives,,,Homme,Male,86.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Maitrise,Supervisors,,,Femme,Female,319.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Maitrise,Supervisors,,,Femme,Female,0.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Maitrise,Supervisors,,,Homme,Male,16.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Cadre,Managers,,,Homme,Male,1672.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Cadre,Managers,,,Femme,Female,634.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Homme,Male,42.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Femme,Female,27.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Femme,Female,0.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Maitrise,Supervisors,,,Femme,Female,14.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Homme,Male,12.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Femme,Female,9.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Execution,Operatives,,,Homme,Male,89.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Homme,Male,0.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Cadre,Managers,,,Homme,Male,5.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Maitrise,Supervisors,,,Homme,Male,1017.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Execution,Operatives,,,Femme,Female,39.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Maitrise,Supervisors,,,Homme,Male,0.0,M€,M€,§2.1.1
2020,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Cadre,Managers,,,Femme,Female,3.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Execution,Operatives,,,Homme,Male,97.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Execution,Operatives,,,Femme,Female,44.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Femme,Female,0.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Cadre,Managers,,,Homme,Male,4.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Maitrise,Supervisors,,,Femme,Female,1.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Cadre,Managers,,,Femme,Female,3.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Homme,Male,13.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Cadre,Managers,,,Femme,Female,622.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Maitrise,Supervisors,,,Homme,Male,1026.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Maitrise,Supervisors,,,Femme,Female,331.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Homme,Male,0.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Maitrise,Supervisors,,,Homme,Male,17.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Femme,Female,10.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Cadre,Managers,,,Homme,Male,1676.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Homme,Male,41.0,M€,M€,§2.1.1
2019,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Femme,Female,26.0,M€,M€,§2.1.1
