Année,Perimètre juridique,Perimètre spatial,Spatial perimeter,Indicateur,Indicator,Type de contrat,Type of contract,Collège,Employee category,Plage M3E,M3E classification,Genre,Gender,Valeur,Unité,Unit,Chapitre du bilan social
2023,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Maîtrise vers Cadre,Supervisor to Manager,,,Homme,Male,465.0,nombre,number,§1.5.1
2023,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Exécution vers Maîtrise,Operative to Supervisor,,,Femme,Female,117.0,nombre,number,§1.5.1
2023,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Maîtrise vers Cadre,Supervisor to Manager,,,Femme,Female,172.0,nombre,number,§1.5.1
2023,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Exécution vers Maîtrise,Operative to Supervisor,,,Homme,Male,249.0,nombre,number,§1.5.1
2023,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Maîtrise vers Cadre,Supervisor to Manager,,,Homme,Male,1.0,nombre,number,§1.5.1
2023,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Maîtrise vers Cadre,Supervisor to Manager,,,Femme,Female,0.0,nombre,number,§1.5.1
2023,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Exécution vers Maîtrise,Operative to Supervisor,,,Homme,Male,0.0,nombre,number,§1.5.1
2023,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Exécution vers Maîtrise,Operative to Supervisor,,,Femme,Female,0.0,nombre,number,§1.5.1
2022,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Maîtrise vers Cadre,Supervisor to Manager,,,Homme,Male,394.0,nombre,number,§1.5.1
2022,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Maîtrise vers Cadre,Supervisor to Manager,,,Homme,Male,0.0,nombre,number,§1.5.1
2022,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Maîtrise vers Cadre,Supervisor to Manager,,,Femme,Female,152.0,nombre,number,§1.5.1
2022,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Exécution vers Maîtrise,Operative to Supervisor,,,Homme,Male,235.0,nombre,number,§1.5.1
2022,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Maîtrise vers Cadre,Supervisor to Manager,,,Femme,Female,0.0,nombre,number,§1.5.1
2022,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Exécution vers Maîtrise,Operative to Supervisor,,,Femme,Female,104.0,nombre,number,§1.5.1
